PostCodes,Posttown,GDescription
KA18,East Ayrshire,Group 1
MK1,Buckinghamshire,Group 3
BL7,Lancashire,Group 2
JE2,Jersey,Unallocated
IG3,Greater London,Group 3
ME17,Kent,Group 3
KT23,Surrey,Group 2
PO1,Hampshire,Group 2
SL7,Buckinghamshire,Group 2
CT15,Kent,Group 3
CM6,Greater London,Group 3
SA33,Carmarthenshire,Group 2
KT13,Surrey,Group 2
LE15,Leicestershire,Group 2
RG10,Berkshire,Group 2
ML1,North Lanarkshire,Group 1
M38,Greater Manchester,Group 2
IM2,NULL,Unallocated
W3,Greater London,Group 3
NN16,Northamptonshire,Group 2
CT20,Kent,Group 3
SG16,Bedfordshire,Group 3
PA16,Inverclyde,Group 1
NR5,Norfolk,Group 3
KY11,Fife,Group 1
NR30,Norfolk,Group 3
GU12,Hampshire,Group 2
SP11,Hampshire,Group 2
YO8,East Riding of Yorkshire,Group 1
EH91,City of Edinburgh,Group 1
DG13,Dumfries and Galloway,Group 1
EH54,City of Edinburgh,Group 1
BH22,Dorset,Group 2
E12,Greater London,Group 3
B75,West Midlands,Group 2
NG20,Derbyshire,Group 1
SY22,Powys,Group 2
IM8,NULL,Unallocated
SN99,Wiltshire,Group 2
CF64,Cardiff,Group 2
SE17,Greater London,Group 3
NN4,Northamptonshire,Group 2
NG19,Derbyshire,Group 1
DN12,South Yorkshire,Group 1
NG16,Derbyshire,Group 1
PR5,Lancashire,Group 1
LL66,Isle of Anglesey,Group 2
SA14,Carmarthenshire,Group 2
FK14,Clackmannanshire,Group 1
G58,Glasgow City,Group 1
AB22,Aberdeen City,Group 1
SN2,Wiltshire,Group 2
LA1,Lancashire,Group 1
EH47,West Lothian,Group 1
CT19,Kent,Group 3
BT69,Dungannon,Unallocated
SP3,Wiltshire,Group 2
DE65,Derbyshire,Group 1
PO21,West Sussex,Group 2
LS19,West Yorkshire,Group 1
SS11,Greater London,Group 3
GU52,Hampshire,Group 2
PL8,Devon,Group 2
HP1,,Group 3
NE29,Tyne and Wear,Group 1
NR12,Norfolk,Group 3
MK45,Buckinghamshire,Group 3
CM19,Greater London,Group 3
LS13,West Yorkshire,Group 1
TN5,East Sussex,Group 3
SE23,Greater London,Group 3
DD9,Angus,Group 1
PA45,Argyll and Bute,Group 1
B14,West Midlands,Group 2
TN19,East Sussex,Group 3
RM1,Greater London,Group 3
G41,Glasgow City,Group 1
W1J,Greater London,Group 3
CW3,Cheshire,Group 2
LL64,Isle of Anglesey,Group 2
S72,South Yorkshire,Group 1
CB2,Cambridgeshire,Group 3
LL46,Gwynedd,Group 2
PH17,Perth and Kinross,Group 1
EH10,Midlothian,Group 1
B48,Worcestershire,Group 2
YO12,North Yorkshire,Group 1
G30,Glasgow City,Group 1
NN2,Northamptonshire,Group 2
DE7,Derbyshire,Group 1
G21,Glasgow City,Group 1
HS1,Eilean Siar,Unallocated
DY5,West Midlands,Group 2
S33,Derbyshire,Group 1
KW11,Highland,Unallocated
PA24,Argyll and Bute,Group 1
AB12,Aberdeen City,Group 1
LE19,Leicestershire,Group 2
BD15,West Yorkshire,Group 1
CA25,Cumbria,Group 1
RM16,Greater London,Group 3
NR29,Norfolk,Group 3
LE4,Leicestershire,Group 2
RH8,Surrey,Group 3
EH20,Midlothian,Group 1
TA9,Somerset,Group 2
BL4,Lancashire,Group 2
PR9,Lancashire,Group 2
ST18,Staffordshire,Group 2
ME13,Kent,Group 3
